,ebin,w_0,h_0,w_1,h_1,w_2,h_2,w_3,h_3,w_4,h_4,w_5,h_5,w_6,h_6,w_7,h_7,w_8,h_8,w_9,h_9,w_10,h_10,w_11,h_11,w_12,h_12,w_13,h_13,w_14,h_14,w_15,h_15,w_16,h_16,w_17,h_17,w_18,h_18,w_19,h_19,w_20,h_20,w_21,h_21,w_22,h_22,w_23,h_23,w_24,h_24,w_25,h_25,w_26,h_26,w_27,h_27,w_28,h_28,w_29,h_29,w_30,h_30,w_31,h_31,w_32,h_32,w_33,h_33,w_34,h_34,w_35,h_35,w_36,h_36,w_37,h_37,w_38,h_38,w_39,h_39,w_40,h_40,w_41,h_41,w_42,h_42,w_43,h_43,w_44,h_44,w_45,h_45,w_46,h_46,w_47,h_47,w_48,h_48,w_49,h_49,w_50,h_50,w_51,h_51,w_52,h_52,w_53,h_53,w_54,h_54,w_55,h_55,w_56,h_56,w_57,h_57,w_58,h_58,w_59,h_59,w_60,h_60,w_61,h_61,w_62,h_62,w_63,h_63,w_64,h_64,w_65,h_65,w_66,h_66,w_67,h_67,w_68,h_68,w_69,h_69,w_70,h_70,w_71,h_71,w_72,h_72,w_73,h_73,w_74,h_74,w_75,h_75,w_76,h_76,w_77,h_77,w_78,h_78,w_79,h_79,w_80,h_80,w_81,h_81,w_82,h_82,w_83,h_83
,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1.386294365,4791,-9.860788345,8886,-18.953022,8916,-28.04862595,9797,-37.23845673,10710,-46.5173912,9444,-55.6705246,10675,-64.94618225,10610,-74.21573639,16002,-83.89620209,15869,-93.56832886,14327,-103.1382294,22010,-113.1374817,17762,-122.9223022,20754,-132.862793,26659,-143.0536804,20909,-153.0016174,29529,-163.2947388,36473,-173.7990723,30822,-184.1350555,43527,-194.8161926,35250,-205.2864075,45342,-216.0083923,53866,-226.9026489,66737,-238.0111694,56890,-248.9600372,63454,-260.0180969,65633,-271.1099243,99955,-282.622406,80851,-293.92276,104109,-305.4759521,121673,-317.1850586,112193,-328.8130493,143764,-340.6889648,143667,-352.564209,164675,-364.5759277,203203,-376.7978821,178424,-388.889801,217736,-401.1808472,243062,-413.5819092,252448,-426.020874,267510,-438.5177917,292980,-451.1056519,351018,-463.8742371,355221,-476.6547241,445636,-489.6619873,449131,-502.677063,562937,-515.9179688,516206,-529.0722046,669385,-542.4863281,656192,-555.8805542,767253,-569.4311523,783507,-583.0026855,957870,-596.7751465,983402,-610.5739136,1038595,-624.4273071,1199206,-638.4244995,1271915,-652.4805298,1477424,-666.6863403,1688757,-681.0258179,1653026,-695.3439331,1921255,-709.812439,2109205
,-504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,849,-6.744059086,6851,-15.57620811,7625,-24.51539612,8425,-33.55435562,9439,-42.70696259,9946,-51.91188812,9949,-61.11711502,11592,-70.47518921,11158,-79.79510498,15284,-89.42966461,13776,-98.96035004,18228,-108.7710648,16362,-118.4737854,19577,-128.355896,22458,-138.3753052,26050,-148.5430756,26573,-158.7307281,31747,-169.096283,25761,-179.2528992,35808,-189.7388306,40890,-200.3574677,38353,-210.9120483,45785,-221.6437531,49450,-232.4524689,55964,-243.3849335,63199,-254.4389801,68796,-265.5778809,73925,-276.7886963,84283,-288.1306458,83165,-299.4592285,108916,-311.0575562,113131,-322.6938477,125256,-334.4319763,135396,-346.2479248,150338,-358.1685791,160577,-370.1551208,196747,-382.3447876,175548,-394.4204407,225264,-406.7454834,231453,-419.0976257,255239,-431.5475769,267351,-444.0438843,302333,-456.6631775,361118,-469.460144,365673,-482.2696533,425046,-495.2296143,440835,-508.2260437,557458,-521.4572144,560583,-534.6939697,611876,-548.0182495,664539,-561.4251099,736297,-574.9345093,836284,-588.571228,915190,-602.2980957,988866,-616.102417,1060368,-629.9765625,1192741,-643.9683228,1251732,-658.0083618,1484894,-672.2192383,1649319,-686.5350952,1754378,-700.9127197,1905944,-715.37323,2131504
,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1497,-7.311218262,8354,-16.34171295,6371,-25.1012249,9702,-34.28131104,8490,-43.32795715,12713,-52.77833557,7554,-61.70816803,13404,-71.21147919,10588,-80.47895813,16426,-90.18557739,12280,-99.6013031,17937,-109.3959198,15651,-119.0542068,21580,-129.0337219,20265,-138.9503784,26368,-149.1302795,28630,-159.3924866,28628,-169.6546326,30111,-179.9672852,31434,-190.322937,39890,-200.9168243,48803,-211.7123718,39071,-222.2855072,54628,-233.1938171,58086,-244.1634979,59420,-255.1558838,66465,-266.2603149,71002,-277.4307861,89348,-288.8310852,86151,-300.1949463,109625,-311.7997742,107572,-323.3856812,125453,-335.1253662,137961,-346.960083,146970,-358.8580627,165914,-370.8772888,192896,-383.0471802,179664,-395.1460266,206340,-407.3833008,248846,-419.8078918,254275,-432.2540588,269689,-444.7590942,292342,-457.3447876,370310,-470.1668701,347255,-482.9246826,426455,-495.8879395,466735,-508.9414673,551730,-522.1622925,546663,-535.3739014,637450,-548.7391357,635974,-562.1020508,775854,-575.6637573,802618,-589.2593994,919802,-602.991333,985704,-616.7924194,1052783,-630.6593628,1199474,-644.6567383,1259445,-658.7029419,1476053,-672.9078369,1660846,-687.2306519,1758878,-701.6108398,1903647,-716.0701294,2129099
,-496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,-3.044522524,5027,-11.56710052,6567,-20.35691261,7989,-29.34273338,8490,-38.38937759,9928,-47.59249115,9201,-56.71955872,11162,-66.03982544,11702,-75.407341,11464,-84.75431061,14262,-94.319664,14077,-103.8719635,16617,-113.5901489,17404,-123.3546066,21568,-133.3335724,21225,-143.2965088,26053,-153.4644012,23453,-163.5271606,30265,-173.8449097,29980,-184.1531982,34880,-194.6128693,36527,-205.1186829,41279,-215.7467957,45023,-226.461731,51733,-237.3155823,56948,-248.2654724,62667,-259.3110657,73985,-270.5226746,73423,-281.7266541,77581,-292.9857178,90578,-304.3996887,107222,-315.9823608,107611,-327.568634,127945,-339.3280029,134323,-351.1360168,151375,-363.0635376,160622,-375.050354,179651,-387.1491394,189000,-399.298645,221138,-411.6051941,234846,-423.9718933,254266,-436.4180298,270918,-448.9276123,304623,-461.5544434,354440,-474.3327332,357219,-487.1188354,436515,-500.1054077,466291,-513.157959,527394,-526.3336792,559090,-539.567749,623561,-552.9109497,659326,-566.3099365,752512,-579.8411255,813462,-593.4501953,923645,-607.1862793,994553,-620.9963379,1024792,-634.8363647,1206191,-648.8393555,1291012,-662.9102783,1458862,-677.1034546,1648788,-691.4190063,1808497,-705.8270264,1853364,-720.2595215,2130495
,-492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,-4.248495102,5944,-12.93863297,5843,-21.6116333,10230,-30.84471321,7464,-39.76255798,9854,-48.95819092,9522,-58.11955261,11395,-67.46047974,10846,-76.75202942,11006,-86.05822754,13564,-95.5734024,15674,-105.2331619,17633,-115.0106888,18160,-124.8176651,19883,-134.7152863,20077,-144.6226196,24393,-154.7246704,25476,-164.870163,29405,-175.1590881,33407,-185.5756073,32381,-195.9609375,35613,-206.4414062,48635,-217.2335052,43114,-227.9051056,47733,-238.6784821,60865,-249.6949005,59895,-260.6952515,65320,-271.7823181,76972,-283.0335083,83476,-294.3658142,95137,-305.8288879,95900,-317.2999573,111512,-328.9218445,132149,-340.7135315,131088,-352.4971619,152923,-364.434845,167111,-376.4612732,178725,-388.5548706,198817,-400.7550049,209106,-413.0056152,233237,-425.3654175,246716,-437.7814026,278469,-450.3184509,294734,-462.9122925,363696,-475.7163696,356680,-488.5009766,425535,-501.4620667,482744,-514.5493164,503823,-527.6793213,569281,-540.9314575,632406,-554.2887573,648332,-567.6708984,761863,-581.2144165,822466,-594.8344727,904770,-608.5499268,1007952,-622.3733521,1026604,-636.2150879,1203747,-650.2160645,1273408,-664.2732544,1483305,-678.4830322,1631899,-692.788269,1814665,-707.199707,1856373,-721.6338501,2132376
,-488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1845,-7.520234585,5141,-16.06523705,6665,-24.8698616,8480,-33.91532898,8970,-43.01696777,10014,-52.22870636,8446,-61.27015686,11530,-70.62286377,11497,-79.97270203,11306,-89.30579376,12874,-98.76876068,14570,-108.355484,17099,-118.1022568,18427,-127.9238281,20133,-137.8339386,22305,-147.8465118,24717,-157.9617615,23354,-168.0202789,31528,-178.3789062,28834,-188.6482239,39162,-199.2236938,33188,-209.6336365,45786,-220.3653717,43271,-231.0406036,47961,-241.8187408,57349,-252.77565,66289,-263.8774414,67673,-274.9998779,78283,-286.2679749,75595,-297.5011292,100364,-309.0177002,104554,-320.5751648,105368,-332.1403809,125629,-343.8814697,133663,-355.6845398,148600,-367.5935669,162053,-379.5892334,185650,-391.7208557,195890,-403.9061584,211822,-416.1696472,235357,-428.5385132,263963,-441.0220642,257331,-453.4801941,305218,-466.1089783,356961,-478.8943481,353731,-491.6706543,442752,-504.6714172,478640,-517.7501221,507593,-530.8875732,564858,-544.131897,621173,-557.4712524,656609,-570.8660889,757977,-584.40448,838547,-598.0438843,909863,-611.7649536,972499,-625.5525513,1031722,-639.399292,1190703,-653.3893433,1305107,-667.4711304,1474109,-681.6746826,1610313,-695.9666138,1849851,-710.3972168,1867913,-724.8375244,2072600
,-484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9204,-9.127393723,6013,-17.82907295,6419,-26.59609032,7925,-35.5738678,10334,-44.81706238,9034,-53.92581177,9240,-63.05710983,10633,-72.3288269,10746,-81.6111145,11035,-90.91994476,13680,-100.443634,15319,-110.0804825,17743,-119.8642273,17592,-129.6394348,21864,-139.6320343,18112,-149.4363708,26900,-159.6362457,24745,-169.7526245,32938,-180.1549988,30981,-190.4961243,36652,-201.0053406,33029,-211.4104767,44494,-222.1135864,44052,-232.8067169,50681,-243.6400299,54727,-254.5501404,61756,-265.5810852,70246,-276.7408447,75524,-287.973053,75970,-299.2111511,102652,-310.7502441,96379,-322.2262878,110298,-333.8372192,136194,-345.6590576,125059,-357.3955994,152150,-369.3282166,162551,-381.3269653,188973,-393.4763184,200593,-405.6853638,207001,-417.9258423,222999,-430.2407532,260225,-442.7100525,277921,-455.2451477,294174,-467.8370667,350526,-480.604248,360411,-493.3992615,443009,-506.4006042,476778,-519.4754028,509606,-532.6168213,560280,-545.8530273,623786,-559.1965942,662967,-572.6010742,747136,-586.125061,841449,-599.7679443,872996,-613.4476318,1008496,-627.2716064,1044699,-641.1308594,1196114,-655.1254272,1292483,-669.1975098,1476005,-683.4023438,1618623,-697.6994019,1823287,-712.1155396,1875487,-726.5599365,2096082
,-480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,-3.178053856,4965,-11.68822289,6249,-20.42840004,7265,-29.3192234,8359,-38.35031891,10145,-47.57505417,7585,-56.5089798,10453,-65.7636261,9479,-74.92045593,12727,-84.37193298,10850,-93.66385651,14444,-103.24189,13243,-112.7331161,18883,-122.5791321,16967,-132.318161,19584,-142.2006226,20960,-152.151001,26058,-162.3190765,25802,-172.4772797,28895,-182.748703,30599,-193.0774231,36748,-203.5892639,36094,-214.0831451,44062,-224.7765045,41254,-235.404007,53339,-246.2884369,53472,-257.175354,64438,-268.2488098,71039,-279.4197998,74672,-290.6406555,79061,-301.9186401,95098,-313.3813171,104483,-324.9381104,106894,-336.5177002,127520,-348.2737427,127983,-360.0333862,152801,-371.9702759,165574,-383.9874573,183677,-396.1083984,193413,-408.2809753,206673,-420.5198669,240991,-432.912384,260293,-445.381958,263506,-457.8638,306206,-470.4958191,341939,-483.2382202,369749,-496.0588074,433419,-509.038269,472640,-522.1043701,516015,-535.2582397,559361,-548.4927979,629724,-561.8458252,651231,-575.2324219,757640,-588.7703857,824974,-602.3934937,908972,-616.1135864,977863,-629.9067383,1045507,-643.7667236,1184626,-657.7516479,1314914,-671.8409424,1473094,-686.0438232,1618165,-700.3406372,1830913,-714.7609863,1900601,-729.218689,2054133
,-476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,-4.852030277,7153,-13.72731781,5391,-22.31980515,7426,-31.23254776,8662,-40.29924774,8547,-49.35258484,8601,-58.41222,10300,-67.6521225,9940,-76.85644531,11611,-86.21615601,12278,-95.6317215,12242,-105.0443497,15901,-114.7184906,16099,-124.4049988,19879,-134.3024139,18440,-144.1246948,21701,-154.1098022,22841,-164.1461182,28066,-174.3884277,29029,-184.6644745,33072,-195.0709229,35694,-205.5536652,33988,-215.9874268,41134,-226.6120148,48133,-237.3937378,49862,-248.2107544,57262,-259.1661377,58037,-270.1349792,69722,-281.287262,76296,-292.5296326,82090,-303.8452148,96209,-315.3194885,98678,-326.8190918,113325,-338.4570923,122313,-350.1714172,132206,-361.9635315,149961,-373.8816528,167775,-385.9120178,180180,-398.0137329,200055,-410.2200928,207723,-422.4640503,221840,-434.7737732,264194,-447.2582092,285355,-459.8197021,292267,-472.4051208,333708,-485.1231384,378018,-497.9658203,429508,-510.9362183,478389,-524.0144043,509304,-537.1552124,574561,-550.4165649,612838,-563.7424316,670614,-577.1583862,742653,-590.6763916,846663,-604.3254395,879130,-618.012146,989820,-631.8174438,1049034,-645.6808472,1198011,-659.677002,1291367,-673.74823,1500732,-687.9696655,1603259,-702.2572021,1805419,-716.6635132,1911136,-731.126709,2069174
,-472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,-7.313220501,5588,-15.94159698,7281,-24.83462143,5990,-33.53246689,7997,-42.51928711,10413,-51.77009583,8003,-60.75766754,9162,-69.88048553,11621,-79.24105835,11320,-88.57538605,11009,-97.8818512,13653,-107.4035645,15015,-117.0203705,18314,-126.8357925,16861,-136.5685577,20227,-146.4833374,21434,-156.4560699,24041,-166.5435791,25671,-176.696701,31399,-187.051239,30119,-197.364151,34386,-207.8095551,38235,-218.3610687,40799,-228.977478,44489,-239.680481,51045,-250.5209503,56471,-261.4624329,63062,-272.5143127,67687,-283.6369629,72842,-294.8330078,82097,-306.1486511,96528,-317.6262512,99324,-329.1323853,116162,-340.7951355,123120,-352.5160522,130562,-364.2956543,150240,-376.2156372,163763,-388.2218018,180669,-400.3262329,191246,-412.4875488,219739,-424.7877502,229561,-437.1316833,258674,-449.5950012,273151,-462.112793,308009,-474.7506714,334962,-487.4724426,382618,-500.32724,428052,-513.2942505,464648,-526.3432617,505966,-539.477478,583836,-552.7548828,613458,-566.0817261,666322,-579.491272,740659,-593.0065918,842724,-606.651001,890933,-620.3510132,989359,-634.1558228,1046632,-648.0169067,1194029,-662.0097656,1295845,-676.0844116,1461898,-690.2796631,1635499,-704.5870972,1824822,-719.0040894,1895473,-733.4590454,2070845
