,ebin,w_0,h_0,w_1,h_1,w_2,h_2,w_3,h_3,w_4,h_4,w_5,h_5,w_6,h_6,w_7,h_7,w_8,h_8,w_9,h_9,w_10,h_10,w_11,h_11,w_12,h_12,w_13,h_13,w_14,h_14,w_15,h_15,w_16,h_16,w_17,h_17,w_18,h_18,w_19,h_19,w_20,h_20,w_21,h_21,w_22,h_22,w_23,h_23,w_24,h_24,w_25,h_25,w_26,h_26,w_27,h_27,w_28,h_28,w_29,h_29,w_30,h_30,w_31,h_31,w_32,h_32,w_33,h_33,w_34,h_34,w_35,h_35,w_36,h_36,w_37,h_37,w_38,h_38,w_39,h_39,w_40,h_40,w_41,h_41,w_42,h_42,w_43,h_43,w_44,h_44,w_45,h_45,w_46,h_46,w_47,h_47,w_48,h_48,w_49,h_49,w_50,h_50,w_51,h_51,w_52,h_52,w_53,h_53,w_54,h_54,w_55,h_55,w_56,h_56,w_57,h_57,w_58,h_58,w_59,h_59,w_60,h_60,w_61,h_61,w_62,h_62,w_63,h_63,w_64,h_64,w_65,h_65,w_66,h_66,w_67,h_67,w_68,h_68,w_69,h_69,w_70,h_70,w_71,h_71,w_72,h_72,w_73,h_73,w_74,h_74,w_75,h_75,w_76,h_76,w_77,h_77,w_78,h_78,w_79,h_79,w_80,h_80
,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-2.079441547,4205,-10.42347145,7363,-19.32769394,8776,-28.4074707,9738,-37.59126282,11466,-46.93840408,8729,-56.01280975,10506,-65.27251434,13277,-74.76630402,13635,-84.28669739,17654,-94.06541443,13039,-103.5411148,19191,-113.4033127,18669,-123.2379303,24913,-133.3610687,24161,-143.4535675,23938,-153.5367889,31649,-163.8992462,29226,-174.1820526,31693,-184.5458984,44984,-195.259964,41229,-205.8868561,35343,-216.3597107,59977,-227.3614197,63368,-238.4181366,61159,-249.4393616,62196,-260.477417,76627,-271.7241211,76417,-282.9680786,106115,-294.5403442,99029,-306.0435181,111657,-317.6667175,132113,-329.4581299,120062,-341.1539001,131734,-352.9424438,194104,-365.1185913,166298,-377.1401367,188182,-389.2853088,233384,-401.645752,227656,-413.9813538,255918,-426.43396,272143,-438.9480286,342181,-451.6911316,349364,-464.4549866,364030,-477.2599792,430856,-490.2335205,462504,-503.2779236,488700,-516.3774414,533564,-529.5647583,616877,-542.8971558,675445,-556.3203125,774716,-569.8805542,783696,-583.4523315,996093,-597.263916,978938,-611.0581665,968918,-624.8421021,1305491,-638.9241943,1208479,-652.9290771,1517490,-667.1616211,1629085
,-504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1501,-7.313886642,7170,-16.19154739,6802,-25.01651955,8499,-34.06422424,9228,-43.1942215,9790,-52.38333893,10647,-61.65637207,10741,-70.93819427,11397,-80.27929688,14757,-89.87876892,16047,-99.56204987,15063,-109.182045,17453,-118.9493103,19699,-128.8376312,23547,-138.9043884,24334,-149.0040131,21279,-158.9694824,32582,-169.3609924,30582,-179.6891632,36761,-190.201355,35931,-200.6907043,42487,-211.3476562,43001,-222.0166321,56997,-232.967392,53097,-243.8472748,63334,-254.9034576,66752,-266.012207,75870,-277.2489929,90695,-288.6642456,87875,-300.0479126,102663,-311.5871277,104841,-323.1473389,135158,-334.9615479,130480,-346.740509,147167,-358.6398315,150298,-370.5602112,179439,-382.6578064,189131,-394.8080139,231469,-407.1602173,225148,-419.4847412,272599,-432.0004883,268120,-444.4996643,339349,-457.234436,349108,-469.9975586,360371,-482.79245,426257,-495.755249,479949,-508.8366699,471733,-521.9008179,567593,-535.1499634,596021,-548.447998,688432,-561.8901978,730355,-575.3914795,824072,-589.0134888,966763,-602.7952271,978922,-616.5894165,1019673,-630.4244385,1202861,-644.4246216,1250819,-658.4639282,1561859,-672.7253418,1592645
,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2775,-7.928406239,8456,-16.97103691,7080,-25.83606529,6232,-34.57351685,9297,-43.7109642,10657,-52.98493576,10828,-62.27482605,12171,-71.68164062,9516,-80.84236908,15432,-90.48656464,16679,-100.2084732,15171,-109.8356171,18361,-119.6536026,19618,-129.5378113,20365,-139.4593811,29112,-149.7382812,22573,-159.7627869,30695,-170.094635,32676,-180.4890289,31332,-190.8414307,36883,-201.3569336,46364,-212.1012115,40271,-222.7046051,55011,-233.6198883,56733,-244.5659943,62285,-255.6054688,68342,-266.7377625,77731,-277.9987793,85728,-289.3577271,90872,-300.7749329,95435,-312.2411194,108377,-323.8345032,139468,-335.6800842,122178,-347.3933105,156307,-359.3528748,142306,-371.2185974,193298,-383.3905945,185184,-395.5197144,220702,-407.8242798,231595,-420.1770325,270605,-432.6854553,288753,-445.2587891,317140,-457.9258728,351625,-470.6961975,355764,-483.4782104,422607,-496.4324036,499858,-509.5544739,452053,-522.5760498,594763,-535.8719482,602414,-549.1806641,663421,-562.5858154,745706,-576.1079102,813081,-589.7164917,956744,-603.487793,979015,-617.2821045,1048758,-631.1452026,1176367,-645.1231689,1257075,-659.1674805,1542044,-673.4160767,1587721
,-496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,-3.433987141,5647,-12.07286644,7564,-21.0040226,6884,-29.84097862,9069,-38.95359421,8868,-48.04380035,9367,-57.18874741,10433,-66.44147491,11365,-75.7797699,12631,-85.22367859,13227,-94.71369171,13303,-104.2094345,18682,-114.044754,18884,-123.8908234,19154,-133.7510834,21697,-143.7360077,25414,-153.8790588,23463,-163.9422455,28568,-174.2022858,32816,-184.6009521,34177,-195.0402679,35415,-205.515152,40680,-216.1286469,48941,-226.9270172,49354,-237.7337952,60517,-248.7444763,63811,-259.8081665,65745,-270.9017029,74744,-282.1235352,88461,-293.513855,91327,-304.9360657,102570,-316.4743652,107829,-328.0626526,126020,-339.8068542,138202,-351.6433411,139802,-363.491333,156494,-375.4521179,179638,-387.5508118,191973,-399.7159119,229986,-412.061676,229547,-424.4055481,256059,-436.8587036,287670,-449.4282837,322212,-462.1112366,353103,-474.8857422,361351,-487.6833496,414671,-500.6185913,476238,-513.6922607,481890,-526.77771,572531,-540.0355225,617474,-553.3688965,667679,-566.7804565,737699,-580.291748,848719,-593.9432373,929975,-607.6861572,971440,-621.4727173,1036865,-635.3244019,1170562,-649.2974243,1281594,-663.3610229,1531658,-677.6029053,1580411
,-492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,-4.727387905,6275,-13.47171688,7055,-22.33320808,7804,-31.29559898,8301,-40.31972885,8612,-49.38064194,10074,-58.59835434,9086,-67.71284485,12454,-77.14263916,11007,-86.44892883,15798,-96.11656952,14947,-105.7288361,14346,-115.3000641,21267,-125.2649765,21206,-135.2270203,18855,-145.0715485,25483,-155.2173157,24383,-165.3189545,30162,-175.6332855,32940,-186.0357361,31629,-196.3975677,34527,-206.8470612,44473,-217.5496979,46342,-228.2935028,52201,-239.1563568,59832,-250.1556549,60701,-261.1693726,63756,-272.2321777,76625,-283.4788513,90796,-294.8952332,89267,-306.2946167,104530,-317.8518372,104828,-329.4119263,131849,-341.2013245,133697,-353.0046692,144393,-364.8849487,147349,-376.7855225,188486,-388.932312,188748,-401.0804749,232192,-413.435791,232371,-425.7918701,247062,-438.209259,290389,-450.7882385,328087,-463.4892578,341509,-476.2303772,367308,-489.044342,427065,-502.0090332,476118,-515.0824585,466966,-528.1364746,573245,-541.3955688,642060,-554.7680054,655018,-568.1604004,744758,-581.6812134,842677,-595.3255615,926331,-609.0645752,976976,-622.8568115,1024942,-636.6969604,1184518,-650.6818237,1274894,-664.7401733,1532288,-678.9824219,1588838
,-488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2884,-7.966933727,6288,-16.71333122,7215,-25.59724808,6285,-34.34317017,9820,-43.53534698,8198,-52.54699326,10821,-61.83623886,8022,-70.8261795,13088,-80.30563354,12696,-89.75467682,14245,-99.31884003,14405,-108.8941727,16495,-118.6049881,17578,-128.3793945,19008,-138.2320099,24208,-148.3264465,22635,-158.3536987,27227,-168.5656586,28919,-178.8379059,31987,-189.2109833,34362,-199.6556854,35704,-210.1387024,42164,-220.7880249,46110,-231.5268097,48306,-242.3121185,59819,-253.311203,63326,-264.3672485,64376,-275.4397583,73508,-286.6448975,90464,-298.0576172,91482,-309.4815063,103687,-321.0306396,102212,-332.5654297,134332,-344.3735046,138540,-356.2124329,141770,-368.0744019,159889,-380.0566406,168004,-392.0883789,197808,-404.2834167,238110,-416.6639099,217280,-428.9528503,256990,-441.4096375,286878,-453.9764404,314324,-466.634613,356319,-479.4181824,372532,-492.2462463,409714,-505.1694641,481619,-518.2543945,475464,-531.326416,568750,-544.5776367,637451,-557.9428711,662216,-571.3461914,735748,-584.8548584,876647,-598.5386963,917111,-612.2677002,949978,-626.0319214,1058603,-639.9043579,1162336,-653.8703003,1275954,-667.9295044,1491665,-682.1448975,1603933
,-484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1.386294365,4218,-9.733410835,7328,-18.63286781,5232,-27.1954174,7369,-36.10045624,8215,-45.11417389,9062,-54.22602081,10394,-63.4750061,9052,-72.58574677,13093,-82.06558228,11413,-91.40808868,13895,-100.9473724,15605,-110.6027222,15216,-120.2328262,20021,-130.1373596,18653,-139.9711151,23457,-150.0340424,20953,-159.9840851,28221,-170.2319031,30897,-180.5703125,30596,-190.898941,35486,-201.3758392,33220,-211.7867432,42991,-222.4554901,46442,-233.2014465,53410,-244.087204,58591,-255.0655365,58591,-266.0438843,70742,-277.2106934,74574,-288.4302368,89994,-299.837738,86779,-311.2088623,99930,-322.7210999,110505,-334.3339233,135323,-346.149353,128792,-357.9153137,138403,-369.7532349,163786,-381.759552,166739,-393.7837219,207111,-406.0247192,219187,-418.3223877,236417,-430.6957397,243291,-443.0977478,302694,-455.7182312,315764,-468.3809814,347115,-481.1383972,361169,-493.9354858,446202,-506.9440002,461652,-519.9865723,477462,-533.0628052,570489,-546.3170776,631681,-559.6732178,666743,-573.083374,718067,-586.567688,873616,-600.2481079,920778,-613.9810791,959220,-627.7549438,1059832,-641.62854,1145789,-655.5801392,1321196,-669.6741943,1470169,-683.875061,1619004
,-480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-3.784189701,6020,-12.48703194,5071,-21.01832581,7674,-29.96391869,7614,-38.90166092,7494,-47.82352066,8451,-56.86556244,11844,-66.24514008,9643,-75.41912842,11319,-84.75336456,11597,-94.11186981,12988,-103.5836487,15803,-113.2516022,15911,-122.9263687,18623,-132.7585144,19330,-142.6279297,23817,-152.7060852,22764,-162.7390137,27401,-172.9573517,29080,-183.2351532,27796,-193.467804,39380,-204.0488129,34896,-214.5089417,41293,-225.1373901,47686,-235.90979,49475,-246.7190094,55882,-257.6499939,63032,-268.7013855,72740,-279.8960266,73161,-291.0964355,87812,-302.4794006,90444,-313.8918762,102009,-325.4246826,107239,-337.0075073,125392,-348.7467041,134239,-360.5540771,144174,-372.4328613,163019,-384.4344788,167448,-396.4629211,201419,-408.6760559,215821,-420.958252,234131,-433.3218994,253178,-445.7637329,289503,-458.3396606,327504,-471.0389099,336442,-483.7651062,389753,-496.6383667,399912,-509.5373535,467536,-522.5925903,496860,-535.7086792,579297,-548.9782715,611641,-562.3021851,666563,-575.7120972,730966,-589.2142334,867667,-602.8878174,921717,-616.6218262,967772,-630.4046021,1037891,-644.2573242,1162142,-658.2230835,1305947,-672.305542,1482877,-686.5150146,1625513
,-476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,-5.703782558,5453,-14.30770397,5282,-22.87976456,6918,-31.72164726,9251,-40.85413361,7594,-49.78924561,8474,-58.83400345,10292,-68.07312775,10393,-77.32201385,10985,-86.626297,11602,-95.98522949,14493,-105.5666504,14769,-115.1669388,14761,-124.7666855,19120,-134.6251831,20272,-144.5421753,22447,-154.5610809,23876,-164.6417084,26416,-174.8234406,31092,-185.1681519,30169,-195.4827271,34095,-205.919632,34481,-216.3677979,41881,-227.0103912,47071,-237.7698059,51378,-248.6167755,57497,-259.5762634,62575,-270.6203918,71736,-281.8011475,75725,-293.0360107,87303,-304.413147,85441,-315.7687378,102240,-327.3038025,109128,-338.9040833,125608,-350.6450195,134303,-362.4528809,146830,-374.3499146,163037,-386.3516541,164641,-398.3631897,206954,-410.6034546,210064,-422.8586121,236889,-435.2339478,252321,-447.6723938,298791,-460.2799072,314302,-472.9380188,328542,-485.6404419,379861,-498.4880066,428807,-511.4567566,464574,-524.5056152,503378,-537.6347046,568385,-550.8852539,602466,-564.1940308,688161,-577.6358032,724018,-591.1283569,872389,-604.807373,926185,-618.5462036,943317,-632.3033447,1056351,-646.1737061,1152491,-660.1311646,1304276,-674.2123413,1507936,-688.4385986,1584909
,-472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2788,-7.93307972,6025,-16.63675308,6340,-25.39138794,6816,-34.21841431,7517,-43.14333725,7604,-52.07976532,7756,-61.03598785,10344,-70.28015137,10059,-79.49637604,12658,-88.94242096,13649,-98.4638443,12447,-107.8930817,15453,-117.5386429,16187,-127.2306061,17504,-137.0007935,20650,-146.936264,22962,-156.9778595,22018,-166.977478,28619,-177.2393036,28806,-187.5076447,30214,-197.8237,33599,-208.2459564,35821,-218.7322388,41083,-229.3555908,49240,-240.1600494,51356,-251.0065918,53736,-261.8984375,61341,-272.9226379,74312,-284.1386719,73965,-295.3500061,84987,-306.7002563,90819,-318.1168823,104728,-329.6759949,107444,-341.2607117,121809,-352.9709167,136471,-364.7947693,145853,-376.6851196,156336,-388.6448975,173750,-400.7102661,206299,-412.9473572,205191,-425.1790466,243140,-437.5804443,250706,-450.0124817,290406,-462.5915222,330725,-475.3005676,328079,-488.0015869,381910,-500.8545227,416369,-513.7938232,447585,-526.8054199,509759,-539.9471436,577684,-553.2139282,611302,-566.5372925,685806,-579.975647,724015,-593.4682007,864751,-607.1384277,908518,-620.8579712,977091,-634.6503296,1039510,-648.5045776,1157685,-662.4664917,1313572,-676.5547485,1461588,-690.7497559,1638840
