Simulation parameters: 
L = 16
seed = 1000
MODIFY = OFF
PRODUCTION = OFF
NUM_WORKERS = 26624
UPDATES PER WORKER = 22292

#iter | time in nsec
--------------------
    1 | 2.0914e+06
    2 | 7.7177e+06
    3 | 1.0677e+07
    4 | 1.3346e+07
    5 | 1.5438e+07
    6 | 1.7519e+07
    7 | 1.9501e+07
    8 | 2.1202e+07
    9 | 2.2885e+07
   10 | 2.4842e+07
   11 | 2.6288e+07
   12 | 2.8569e+07
   13 | 2.9847e+07
   14 | 3.0957e+07
   15 | 3.2849e+07
   16 | 3.4464e+07
   17 | 3.5836e+07
   18 | 3.7588e+07
   19 | 3.9044e+07
   20 | 4.0569e+07
   21 | 4.1799e+07
   22 | 4.3177e+07
   23 | 4.4622e+07
   24 | 4.4634e+07
   25 | 4.4717e+07
   26 | 4.4735e+07
   27 | 4.4781e+07
   28 |  4.489e+07
   29 | 4.4864e+07
   30 | 4.4927e+07
   31 | 4.5016e+07
   32 | 4.5155e+07
   33 | 4.5169e+07
   34 | 4.5202e+07
   35 | 4.5359e+07
   36 | 4.5528e+07
   37 | 4.5588e+07
   38 | 4.5684e+07
   39 | 4.5861e+07
   40 | 4.6026e+07
   41 |  4.624e+07
   42 | 4.6357e+07
   43 | 4.6627e+07
   44 | 4.6864e+07
   45 |  4.714e+07
   46 | 4.7126e+07
   47 |  4.769e+07
   48 | 4.8012e+07
   49 |  4.841e+07
   50 | 4.8848e+07
   51 | 4.9257e+07
   52 |  4.974e+07
   53 | 5.0358e+07
   54 | 5.0989e+07
   55 | 5.1527e+07
   56 | 5.2362e+07
   57 | 5.3103e+07
   58 | 5.3944e+07
   59 | 5.5004e+07
   60 | 5.6155e+07
   61 | 5.7308e+07
   62 | 5.8545e+07
   63 | 6.0021e+07
   64 | 6.1602e+07
   65 | 6.3264e+07
   66 | 6.5229e+07
   67 | 6.7345e+07
   68 | 6.9583e+07
   69 | 7.2134e+07
   70 | 7.4929e+07
   71 | 7.8074e+07
   72 | 8.1358e+07
   73 | 8.5159e+07
   74 | 8.9226e+07
   75 | 9.3755e+07
   76 | 9.8659e+07
   77 | 1.0405e+08
   78 | 1.1003e+08
   79 | 1.1668e+08
   80 |  1.239e+08
   81 | 1.3186e+08
   82 | 1.4068e+08
   83 | 1.5027e+08
   84 | 1.6093e+08
   85 | 1.7252e+08

Simulation finished after 85 iterations.
Total simulation time: 4.7718e+09 nsec
Average time per spin flip: 0.21653 nsec
total number of thermalization steps/Worker : 5.826e+05
total number of iteration updates   /Worker : 2.4514e+05
total number of all updates         /Worker : 8.2774e+05
