Simulation parameters: 
L = 16
seed = 1000
MODIFY = OFF
PRODUCTION = OFF
NUM_WORKERS = 26624
UPDATES PER WORKER = 16748

#iter | time in nsec
--------------------
    1 |  2.713e+06
    2 |  1.252e+07
    3 | 1.9837e+07
    4 | 2.4691e+07
    5 | 2.7738e+07
    6 | 3.2705e+07
    7 | 3.4452e+07
    8 | 3.7014e+07
    9 |  4.118e+07
   10 |  4.187e+07
   11 | 4.5603e+07
   12 | 4.8334e+07
   13 | 5.0781e+07
   14 | 5.1698e+07
   15 | 5.3908e+07
   16 | 5.6503e+07
   17 |  5.885e+07
   18 | 6.1336e+07
   19 | 6.3817e+07
   20 | 6.6701e+07
   21 |  6.873e+07
   22 | 7.0576e+07
   23 | 7.2989e+07
   24 | 7.2865e+07
   25 | 7.3165e+07
   26 | 7.3013e+07
   27 | 7.3384e+07
   28 | 7.3173e+07
   29 | 7.3358e+07
   30 |  7.351e+07
   31 | 7.3855e+07
   32 |   7.36e+07
   33 | 7.4061e+07
   34 | 7.3971e+07
   35 | 7.4348e+07
   36 | 7.4482e+07
   37 | 7.4581e+07
   38 | 7.5003e+07
   39 | 7.5069e+07
   40 | 7.5481e+07
   41 | 7.5831e+07
   42 | 7.6077e+07
   43 | 7.6785e+07
   44 | 7.7133e+07
   45 | 7.7485e+07
   46 | 7.8045e+07
   47 | 7.8819e+07
   48 | 7.9486e+07
   49 | 8.0109e+07
   50 | 8.0824e+07
   51 | 8.1652e+07
   52 | 8.2588e+07
   53 | 8.3724e+07
   54 | 8.4833e+07
   55 | 8.6087e+07
   56 | 8.7287e+07
   57 | 8.8952e+07
   58 | 9.0663e+07
   59 | 9.2557e+07
   60 | 9.4645e+07
   61 | 9.6757e+07
   62 | 9.9548e+07
   63 | 1.0215e+08
   64 | 1.0503e+08
   65 | 1.0809e+08
   66 | 1.1221e+08
   67 | 1.1592e+08
   68 |  1.208e+08
   69 | 1.2522e+08
   70 | 1.3039e+08
   71 | 1.3626e+08
   72 | 1.4276e+08
   73 | 1.5023e+08
   74 | 1.5763e+08
   75 |  1.665e+08
   76 | 1.7573e+08
   77 | 1.8652e+08
   78 | 1.9752e+08
   79 | 2.1083e+08
   80 | 2.2389e+08
   81 | 2.3893e+08
   82 | 2.5611e+08

Simulation finished after 82 iterations.
Total simulation time: 7.3141e+09 nsec
Average time per spin flip: 0.3692 nsec
total number of thermalization steps/Worker : 5.5992e+05
total number of iteration updates   /Worker : 1.8416e+05
total number of all updates         /Worker : 7.4408e+05
